#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
64,"MOVIE","Lvbel C5",57,140,"turkce drill, turkish hip hop, turkish trap","Hip Hop","MOVIE",2022-09-23,02:35,83,58,10,0,88,40,40,-11,C♯/D♭ Major,4,2023-12-07,3fznN0fNZAuTSu8f0vDO7E,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",3B,,https://i.scdn.co/image/ab67616d00004851c60782c28e32bdef9a105f46
65,"Gülün Rengi","Serdar Ortaç",48,94,"turkish pop","Pop","Kara Kedi",2010-05-14,04:24,72,80,25,0,53,20,20,-5,F Minor,4,2023-12-07,2QRmkpesFJl659zHne1PyQ,"EMRE GRAFSON MÜZİK",4A,https://p.scdn.co/mp3-preview/2364eb69636d8fe1203089b46cf0d436e1a47132?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851339c6b6dd9b58001f7b20b26
66,"Enough","Fornicras",40,130,"","","After the Party",2018-06-01,02:29,59,35,71,0,22,0,10,-12,C Major,4,2023-12-07,4xhtzcvs8G4d4IXhbYhHrj,"RedKeys Music",8B,https://p.scdn.co/mp3-preview/399803c4fa570a7daaceac0bdff4bf96c574759c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512a6530ada280d94c7254cb6b
67,"O Yeterdi Aslında","Reckol,cakal",63,108,"turkce drill","","O Yeterdi Aslında",2023-02-03,03:07,63,73,33,0,52,0,20,-7,E Major,4,2023-12-07,2ddm1l43JvlkXoFGkUKBF7,"Perros Blancos",12B,https://p.scdn.co/mp3-preview/fa59d1c37824741ec87f0127878ae5f7fd872a88?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851243840009eed709671f8c0a0
68,"In This Dark Time","Aime Simone",56,99,"","","Say Yes, Say No",2020-07-31,03:27,70,53,18,0,27,0,10,-9,B Minor,4,2023-12-07,2tVJpUamLfNdUI7SiyPIFF,"No Start No End",10A,https://p.scdn.co/mp3-preview/ddee84e56c3b629c3a10cdae4ff9b043e5574fc9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a7d75894c7fc23960d29509f
69,"Köpekler","Duman",46,122,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Darmaduman",2013-09-12,04:28,44,83,3,0,24,0,30,-5,A Minor,4,2023-12-07,6FIVWsqqp1Mlb1Cbnu2epK,"PASAJ",8A,https://p.scdn.co/mp3-preview/4211728d4c98b35c415f6df5f5a005930e71bd34?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104a14bda92ba327064436574
70,"City Of Stars","Cocoon",53,102,"french indie pop, french rock, nouvelle chanson francaise","Pop, Rock, World/Traditional","City Of Stars",2018-03-09,02:26,74,33,56,0,34,0,0,-10,F#/G♭ Minor,4,2023-12-07,3SKxvvgoXxifxNfGhlXO7T,"Universal Music Division Barclay",11A,,https://i.scdn.co/image/ab67616d00004851c32a4411c2b6c0c085166829
71,"Yan Benimle","Sıla",62,74,"turkish pop","Pop","Mürekkep",2016-06-03,04:43,64,59,40,0,49,10,20,-6,G#/A♭ Minor,4,2023-12-07,2LX6XfSqCKBrt2qJngS87z,"SONY MUSIC TURKEY",1A,https://p.scdn.co/mp3-preview/99eb9dad0877789d2452d4ec65cc742f3172926f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851259f95204897221b295a5641
72,"Aşk Sadece Anlayana","Velet",66,129,"turkish hip hop, turkish trap","Hip Hop","Aşk Sadece Anlayana",2022-05-13,02:01,60,54,52,0,32,40,10,-11,C♯/D♭ Minor,5,2023-12-07,62nygHWpn3wLwnZmJ8keVs,"Müzik Bankası",12A,https://p.scdn.co/mp3-preview/bb3d5c9b6975c438239c00fa9af7d897b3f680dd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485162a8f415266dd3d93b284f38
73,"YALA DEDI YALAMA","yungcihad,Qimp,SWIRF",61,126,"new school turkce rap","Hip Hop","YALA DEDI YALAMA",2023-01-20,02:05,80,96,41,0,95,10,10,-3,E Minor,4,2023-12-07,3IUfGKVNE3QN1tePTN1bxF,"LENTIL BOYS",9A,https://p.scdn.co/mp3-preview/bd4e1b75061b771359a487dd53c82f15aad98428?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851361d58da723452f6d1f14dc1
